country,mobile_subs,internet_users,fixed_internet,mobile_broadband,nri_usage,mci_afford,mci_consumer,fixed_bb,hh_mobile,hh_computer,hh_internet,ind_computer,ind_mobile,internet_gender_gap,ind_internet,mobile_cell,fixed_tel,Cost_1_GB_Share_GNICM,access_a4ai,overall_a4ai,mobile_tariffs,handset_prices,taxation,inequality,smartphone_cost,prepaid_cost,postpaid_cost,fixed_bb_cost,arpu,wireless_market_share,bb_market_share,barrier_fam,barrier_nodocs,barrier_nofunds,barrier_noneed,barrier_relig,barrier_tooexpens,barrier_toofar,barrier_trust,v2smgovfilprc,v2smgovshut,v2smgovsm,v2smgovsmalt,v2smgovsmcenprc,v2smregcon,v2smdefabu,v2smarrest,v2x_civlib,v2x_clpol,v2x_clpriv,press_freedom,access_obstacles,content_limits,user_violations,fotn_total,v2smgovdom,v2smgovab,v2smpardom,v2smparab,v2smfordom,v2smforads,v2smprivcon,v2smgovsmmon,v2smprivex,v2smregcap,v2smregapp,v2smlawpr,v2smgovcapsec,v2smpolcap,itu_gci,ncsi,v2smgovfilcap,v2smgovshutcap,gov_support,stability_integrity,products_outlets,consumer_protection,infrastructure_eiu,overall_eiu,acct,borrow,dig_pay,mm,acct_gender_gap,borrow_gender_gap,dig_pay_gender_gap,mm_gender_gap,acct_wealth_gap,borrow_wealth_gap,dig_pay_wealth_gap,mm_wealth_gap,acct_age_gap,borrow_age_gap,dig_pay_age_gap,mm_age_gap,acct_ed_gap,borrow_ed_gap,dig_pay_ed_gap,mm_ed_gap,acct_rural_gap,borrow_rural_gap,dig_pay_rural_gap,mm_rural_gap,mci_infra,mci_infra_coverage,cov_2G,cov_3G,cov_4G,mci_infra_performance,download,upload,latency,mci_infra_enabling,elect,bandwidth_gsma,servers,tlds,ixps,mci_infra_spectrum,spectrum_dd,spectrum_low,spectrum_high,mmri,mmri_auth,mmri_consumer,mmri_transact,mmri_kyc,mmri_agent,mmri_infra,copy_paste,create_pres,install_soft,move_device,move_file,new_device,sent_email,use_spreadsheet,write_program,copy_paste_gender_gap,create_pres_gender_gap,install_soft_gender_gap,move_device_gender_gap,move_file_gender_gap,new_device_gender_gap,sent_email_gender_gap,use_spreadsheet_gender_gap,write_program_gender_gap,mci_content,ict_laws,nri_enviro,v2smonex,v2smonper,v2smmefra,v2smorgviol,v2smorgavgact,v2smorgelitact,v2smcamp,v2smpolsoc,v2smpolhate,open_data,open_gov,public_laws,right_to_info,civic_part,complaint,db_score,db_trade,db_startbiz,iipd,dtri,fiscal_market,establishment,data_restrictions,trading_restrictions,tert_enroll,mgmt_school,ed_quality,stem_quality,sec_enroll,adult_lit,knowledge_jobs,internet_schools,tech_abs,inno_capacity,pct_patents,b2b_use,b2c_use,staff_training,tech_avail,ict_vision,online_services,ict_promotion,ict_gov_efficiency,e_participaton,gov_procure,ws_PC1
Afghanistan,NA,NA,NA,NA,NA,35.367734250697225,26.041934903625286,0.047054334372442,NA,NA,NA,NA,NA,NA,13.5,59.1208482338053,0.343791756148411,0.04,NA,NA,37.073358766960375,0,31.774087995290756,89.4545451077548,NA,NA,NA,NA,NA,NA,NA,0.1634562462568283,0.24187515676021576,0.8400823473930359,0.018538618460297585,0.1636996865272522,0.2470601350069046,0.34834757447242737,0.23529106378555298,-0.202,-0.45,0.164,-0.502,0.493,0.292,0.175,0.376,0.483,0.652,0.349,27.66756673,NA,NA,NA,NA,-0.338,-0.205,-1.061,-0.646,-1.165,-0.682,-0.668,0.157,-0.501,-0.374,0.775,-0.732,-1.136,-1.545,0.177,15.58,-0.282,0.184,NA,NA,NA,NA,NA,NA,0.14547084271907806,0.03811303526163101,0.10826800763607025,0.009138161316514015,0.7031748520286433,0.2703767782029058,0.766735745306582,0.07144723365187834,0.08244118688349077,-0.36266915073158346,0.03838686638848722,0.7186492862486685,0.4414302035894885,0.7419192054891797,0.39488868252098314,1,0.718032293500892,0.20555453426757744,0.7601605033549494,0.8252393371667631,-0.02421150655531544,0.00928560467368919,-0.029524785008222833,0.06738883488486476,30.67456146275763,36.09199928760529,89.99999761581421,30.3,14.92999941110611,22.722933358616302,9.991287589073181,8.48642667134603,49.691085815429695,52.27848179709052,83.019240787325,45.52619561641,45.71616958656673,39.610496163368225,0,12.871926547365234,0,29.291667938232425,20.03883702776786,78.81004459174501,91.45396496677884,65,54.1590340114091,100,86.66666666666666,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.975368562440423,NA,NA,0.117,0,-0.542,-1.436,0.597,0.598,0.659,-0.393,-0.964,12,0.43,0.37,0.39,0.59,0.36,44.06497,91.99116,30.63301,10.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.918311353827518
Algeria,92.9479307330594,18.09,4.00634657357731,20.7929350102821,2.783260467033481,52.96853919643344,60.27540535104685,7.25538836320801,NA,47.5,74.4,NA,NA,0.26138032305433184,59.5796847635727,121.932482039105,9.8476788421671,0.02,NA,NA,34.81012447915896,32.00924793879191,76.25000029802322,88.36363705721769,84.12482569,3.276799843,2.041894549,4.369066458,65.3156,3474.73,9782.42,0.2064986228942871,0.11504068970680237,0.3553098440170288,0.11981682479381561,0.07590384036302567,0.08700336515903473,0.06821481138467789,0.14592579007148743,-1.225,-1.237,-1.285,-1.543,-1.138,-1.367,-0.682,-1.287,0.543,0.507,0.57,45.75158606,NA,NA,NA,NA,-1.324,-0.524,-0.948,-1.118,-1.028,-0.746,-1.149,-2.018,-0.411,0.287,-1.698,-0.445,0.373,-1.098,0.262,14.29,1.503,2.073,NA,NA,NA,NA,NA,NA,0.42776626348495483,0.04952048510313034,0.2597552239894867,NA,0.4797126767798134,0.5064420931525658,0.39279764866351663,NA,0.2709425513426383,0.11829365637107617,0.33962757942094113,NA,0.4136346309685785,0.8480722614499387,0.5890660105707844,NA,0.2044799387778345,0.48559303009595495,0.2871386590099815,NA,-0.0234083029771092,-0.23553045071508774,-0.06667279337315234,NA,48.07775112706278,74.0559995174408,98.00000190734863,88.13999891281128,47.999998927116394,34.28429119768198,14.115502834320068,21.28637154897054,67.45099920975535,60.230422081669346,99.40007241832446,53.874426375336114,47.493574811903926,31.815158128738403,0,17.647897480960438,0,26.666666666666668,35.1844689932203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.130245309874645,2.837458591,3.115909656365112,0.871,-0.109,0.49,-0.909,-0.005,-0.624,-0.225,-0.069,0.545,NA,NA,NA,NA,NA,NA,48.59758,78.01386,38.42879,20.05,NA,NA,NA,NA,NA,34.59381,3.363474654039571,3.3158929908831505,3.323081508201639,99.86019,80.19891,17.56581386725992,2.772783558603396,3.3503890743837053,3.2583286853651927,0.21866575394446178,3.558582940620462,3.309575625034194,3.2653309258772305,3.594226551426507,3.1499654210293233,0.07874,3.35893891129469,3.3110829695518773,0.07843,3.0567202669351214,-1.2702644100001477
Angola,NA,NA,NA,NA,NA,50.005785436341256,49.776102303232534,0.355604535662645,NA,10.4,8.8,NA,NA,0.09821428571428568,14.3390793643794,43.1305188834963,0.557803272057674,0.02,NA,NA,45.85759644556527,27.42486000061035,83.55978727340698,56.54545523903587,88.73208688,2.714931558,2.474448569,14.76922767,194.4,6270.08,5764.887368,NA,NA,NA,NA,NA,NA,NA,NA,0.522,1.187,1.257,-0.357,1.416,-1.246,1.354,0.162,0.548,0.622,0.482,34.95740796,14,7,19,40,-0.214,0.193,-1.598,-1.67,-1.656,-0.943,-0.185,0.476,-0.434,-1.256,0.833,-0.116,-0.613,-1.301,0.097,NA,1.335,0.922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.201910591709165,57.50800047683716,89.99999761581421,85.00000238418579,13.77,49.10168580841599,34.28413391113281,38.60232353210449,74.41859998201069,34.728046506385354,36.32893773592683,43.18356898936383,33.53973477804191,0,8.123740553855896,41.36697702428074,62.06896225138896,22.62777805328369,25.458252572854207,68.25,76.66666666666667,50,99.99999999999997,59.99999999999999,58.33333333333333,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.403956461591424,NA,NA,-1.006,0.469,0.268,0.373,0.168,-0.668,-0.259,0.628,1.48,NA,NA,NA,NA,NA,NA,41.28838,79.4006,36.15152,30.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.437045577866375
Argentina,158.798561112357,64.7,15.5731132540928,53.6323540405173,3.8352195710574084,45.90987304756135,84.42757399600191,19.1015223906504,NA,64.3,75.9,44.8,81.2,0.02260638297872344,74.29490687,132.093151327231,21.8977213169632,0.01,71.99,68.94,58.9413991600576,43.90889803568522,13.092099875211716,62.18181956898082,92.89123931,0.025502634,1.696978268,3.611483992,102.8582,3309.96,2225.78,0.22973865270614624,0.29868659377098083,0.5905112624168396,0.025523653253912926,0.028035063296556473,0.42766767740249634,0.1115589588880539,0.25411298871040344,1.675,1.426,1.482,0.803,0.945,1.887,1.415,0.846,0.897,0.936,0.906,28.30321415,6,8,14,28,0.832,1.001,-0.013,-0.248,0.983,1.261,0.346,0.292,1.118,-0.003,0.483,0.205,1.134,-0.321,0.407,36.36,0.48,0.434,66,71,59,83,81,64,0.4791669249534607,0.2436933070421219,0.40177983045578003,0.024161674082279205,-0.10477590969435126,0.00767795968016043,-0.12656393062929222,0.5264939606079616,0.31777953787035385,0.5075514361422745,0.3227586353055686,0.6538294191893302,0.40858867923337455,0.6924615693516776,0.31962256734739597,-0.26015885997163546,0.16802037134306083,0.4756121537336408,0.38860152579936624,0.7798520858550927,0.008382357349783626,0.07384446637182714,0.03826111557072236,0.40639761943307356,70.28218812425439,95.59999942779541,98.00000190734863,94.9999988079071,94.9999988079071,50.22969392308018,32.704288959503174,41.06515884399414,76.91963396574322,76.49223753290457,100,55.73089172753082,73.13688375497415,58.1805658340454,78.31904888153076,56.17416306205397,63.4482751544676,38.88888676961263,56.699033967488646,54.25,50,25,0,100,96.66666666666667,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.46674163410147,3.034631057,3.299679941059515,1.59,1.963,-1.142,-1.049,2.487,2.564,1.88,-1.729,1.015,60,0.56,0.46,0.57,0.62,0.57,58.96151,80.43345,67.09272,24.74,0.38,0.49,0.28,0.17,0.57,79.9867,4.782793226242065,3.0736390686035158,3.1495564794540405,106.32314,98.08516,23.91829604931818,4.127524013519287,4.0284467745914965,3.8884128284454347,1.1567352463218938,3.89070643901825,4.248726472854615,3.780267906188965,3.728364310264588,2.5816495561599733,0.55118,2.92202449798584,2.976812210083008,0.54901,2.502277836799622,1.3294606111121376
Bangladesh,80.0353505087956,9.6,1.95137268924477,13.3823702435712,2.9938462915270296,59.11756494821924,44.21367208537753,6.33367053193327,NA,2.7,NA,NA,NA,NA,15,97.281186947995,0.439884422478119,0.02,46.82,46.95,67.36007931256535,46.726767222086586,43.91210004687309,80.5454548922452,78.48681014,1.512137872,1.644520824,3.50125883,21.7728,3433.7,5681.18,0.18360351026058197,0.13697834312915802,0.6161996722221375,0.05303829908370972,0.05082082003355026,0.16210336983203888,0.1377653181552887,0.11016874015331268,-1.764,-3.002,-1.998,-1.248,-2.163,-1.717,-1.756,-1.871,0.425,0.505,0.609,49.19493786,12,14,25,51,0.536,0.56,-0.518,-0.955,-1.141,-1.319,0.76,-2.07,-0.932,2.478,-1.159,1.611,0.963,-1.228,0.525,25.97,1.124,1.04,54,57,44,38,33,40,0.40972647070884705,0.0920577123761177,0.3411082625389099,0.21245959401130676,0.364811804328749,0.25027461366581094,0.5517393252963021,0.6836099500328706,0.2793942230052118,-0.20024728069899408,0.33056122509333885,0.4327243036601531,0.35232070708611846,0.6009877458263855,0.03896058775991075,-0.3902904890032056,0.3441336347376739,-0.7223260668264196,0.41452788274855784,0.44692245928752306,0.013289071342674088,-0.028882117247664797,-0.017818840867141826,-0.03582843278284171,43.73423889054951,64.3860012292862,99.4700014591217,94.2300021648407,17.000000178813934,36.79967727577477,14.582377672195435,19.34408664703369,76.4725675080952,51.613226493012235,74.2230190684624,45.92598484055581,51.39418680350104,29.596269652247432,1.5026927925646305,15.2794502021439,0,30.166667302449547,26.417476404725686,70.69956193746114,71.55147122271119,72.5,70.72747047098532,50,79.99999999999999,82.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.547738665012176,2.962754856,3.1188726137817726,0.132,-1.884,-0.955,-2.609,0.232,0.245,1.539,-2.347,-1.87,25,0.47,0.45,0.51,0.49,0.44,45.04865,82.36901,31.76273,20.2,NA,NA,NA,NA,NA,13.38656,3.688218067631577,3.3637827381943213,3.3034881071610886,58.30926,61.54588,20.011571725915406,3.1538608507676558,4.124525008591715,3.3823989319078853,0.0225660942903429,3.8082852378036036,3.6896385944250856,3.2060909509658817,4.048630145101836,4.1168469681884305,0.34645,4.078250399502841,3.5241825602271337,0.39215,2.595437384374214,-2.4275339411825065
Belize,NA,NA,NA,NA,NA,41.49576938468398,72.21303361951746,6.43692683601734,NA,36.7,36.1,NA,NA,NA,47.0826258036364,85.5269649751613,5.44781515698134,0.04,NA,NA,24.321759349167948,36.45924727121989,76.12552158534527,40.18181540749289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.4957593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.402785690388086,85.29199957847595,94.9999988079071,85.28000116348267,80.44999837875366,45.04056093985574,25.123519897460938,29.058227539062496,80.93993538304379,80.63898629636051,91.66563978672968,56.48713221046161,87.31051565734379,81.23574256896973,100,30.876101378082424,43.10344732332178,28.599205017089847,16.456311654770438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.515247994727154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,0.46,0.51,0.63,0.59,55.47444,72.01481,68.22905,18.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13952577082015216
Benin,99.6522197724235,5.3,0.400669464909227,2.84744294783438,2.806073413506374,37.166815806518905,45.343402035167244,0.235384383377199,NA,NA,NA,NA,NA,NA,20,82.3842903866977,0.422357981388665,0.06,54.13,53.51,26.521683606234465,10.117701689402258,76.87499970197678,54.00000138716264,67.82927636,2.576900951,15.65877954,38.65351427,55.2,4921.28,5790.3,0.11021177470684052,0.426429808139801,0.7149180173873901,0.005932693835347891,0.09782365709543228,0.3208306133747101,0.3353319764137268,0.18368075788021088,0.974,1.5,1.428,-0.82,1.225,1.481,1.071,-0.097,0.905,0.877,0.948,31.74074087,NA,NA,NA,NA,0.298,0.599,0.303,-0.42,0.125,-0.207,1.158,-0.29,1.539,0.918,1.063,2.593,-0.151,-1.009,0.485,41.56,1.522,1.651,NA,NA,NA,NA,NA,NA,0.31884515285491943,0.11360269784927368,0.2847525179386139,0.18093837797641754,0.44212025827426493,0.24396203478887188,0.5067329647041644,0.5234758569275278,0.24041127106243756,-0.3751758010036334,0.23833296354870517,0.36126740886715475,0.15277814179121937,0.3610636987286377,0.13986702670271786,-0.07444959320079438,0.4343861117084914,-0.3358195613349013,0.5135483563772654,0.6667842969900433,0.08081921973838238,-0.05870950876130743,0.08278096172264378,0.10652152769319244,43.74067166405534,60.83199977874756,98.00000190734863,63.359999656677246,39.719998836517334,23.040566486224794,10.535130500793457,11.083734035491943,47.502834922388985,33.327541436411046,37.27310273001836,39.95912151482006,30.231975800353506,30.535630881786346,10.882814228534698,59.566967486407144,41.37930816759264,47.33333269755045,89.94174934708676,79.9312561837921,89.15609629821382,80,69.56284862885298,70,96.66666666666667,57.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.57039415085772,2.545454502,3.310818121102126,0.523,0.94,0.909,1.806,0.484,0.326,1.247,2.058,1.051,NA,NA,NA,NA,NA,NA,52.40404,90.62417,68.94165,12.29,NA,NA,NA,NA,NA,15.36278,3.3384616374969482,2.39393949508667,3.200000047683716,54.3636,38.44714,NA,3.348484754562378,3.9768289068062828,4.909090995788574,0,4.28787899017334,3.7761194705963135,3.492307662963867,3.462686538696289,3.230769157409668,0.11023,3.432835817337036,3.2388060092926025,0.17647,2.84375,-2.1415727097506565
Bolivia,96.3372482776015,39.02,1.59281297798309,28.134029593837,3.0828334761836786,49.88386570233287,69.70539950370475,4.44015410007203,NA,27.5,14.3,35.9,70.4,0.13207547169811315,43.8322760674661,100.816408356383,6.27104813803967,0.02,52.65,51.12,51.983033334366,31.91357453664144,72.30168804526329,51.27272865988992,NA,NA,NA,NA,NA,NA,NA,0.35355857014656067,0.1688530296087265,0.6535466313362122,0.026181692257523537,0.09293150901794434,0.4468223452568054,0.2782011032104492,0.33646360039711,0.43,0.279,0.612,-0.856,0.014,0.498,0.891,0.415,0.84,0.818,0.832,35.37679556,NA,NA,NA,NA,0.169,0.713,0.43,0.963,-1.35,-0.879,0.135,-0.491,-0.196,-0.375,0.291,-1.227,-0.376,-0.179,0.139,NA,-0.502,-0.473,53,50,100,72,56,57,0.5120750069618225,0.1997629553079605,0.40024232864379883,0.07119389623403549,-0.004597937444296284,-0.06980970324473174,0.1742472799061128,0.4794830319904109,0.3628983461223533,0.3770898449389325,0.3700165409783659,0.07080958153930132,0.38620556005742174,0.46677600264490365,0.33850925869637966,-0.9872662876282519,0.2788553897173113,0.3223763250970888,0.39506004189563176,0.7474210538643394,0.0393336524973889,-0.07383902493423587,0.013936585101427382,-0.020864565401874504,61.90742982926406,81.46399974822998,98.36000204086304,74.47999715805054,80.0000011920929,62.185387695044795,40.35372734069824,67.37516403198242,78.82727171245374,62.37046246916003,92.5485804303028,55.3025144064938,52.62058470467027,44.562941789627075,22.289586067199707,31.69260551224808,30.344826647274324,24.94444529215495,37.28155560726755,86.76637143358882,95.53196997152472,80,84.04520294754272,70,93.33333333333333,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.45363294599291,3.067878882,3.1398589698362205,-0.296,-0.058,-0.932,-0.826,1.49,0.793,0.29,-2.074,0.907,30,0.45,0.37,0.43,0.51,0.51,51.65574,69.36413,71.58727,NA,NA,NA,NA,NA,NA,38.39057,3.0851275126139326,3.1100800037384033,2.8232144832611086,84.6745,95.65097,15.254135818482967,3.4950952370961508,3.7336746311673537,3.2838740507761637,0.09615448410186567,3.681212059656779,3.285887352625529,3.29357795715332,3.80121218363444,3.3918353716532392,0.3937,3.1069135506947836,3.3518519242604574,0.41176,3.294476811091105,0.5675207679837326
Botswana,167.297593872619,18.5,1.63299383347387,49.7421498322122,3.3856618435881383,49.41489148343151,68.18092469256749,1.77652138267346,94,NA,40.6,41.4,85.3,0.16543209876543216,47,150.005589893473,6.3210604116646,0.01,64.62,57.44,44.5981519872492,57.99694061279297,85.00000033527613,8.18181818181818,95.4895587,5.101360463,6.111535523,4.932675248,88.8,4081.29,6800,0.1039062961935997,0.1722784787416458,0.6095722913742065,0.01055757887661457,0.18066826462745667,0.19014692306518555,0.14527378976345062,0.10505928844213486,1.542,0.378,0.48,-0.654,1.593,1.907,0.405,1.261,0.861,0.873,0.88,25.08580121,NA,NA,NA,NA,1.036,1.475,1.189,0.17,2.024,1.798,1.724,1.607,1.539,-0.168,-0.079,1.201,-0.763,-1.576,0.44,14.29,-0.047,-0.761,NA,NA,NA,NA,NA,NA,0.44828304648399353,0.0886186808347702,0.41807663440704346,0.24378307163715363,0.1686827712554738,0.3893911762153905,0.15045608714845632,0.29538657225260445,0.4556248120467634,0.734632979260906,0.48118376382097355,0.6131603722485385,0.27951392917320833,0.4185882701563262,0.1517414827050443,-0.19366299827898492,0.28605338092943056,0.6311651381014391,0.4196398767837741,0.7397193500064697,0.07040029496307078,0.09155480680580566,0.06732671700482538,0.09129489874850283,46.77711584066562,83.23600053787231,97.00000286102295,85.00000238418579,74.58999752998352,30.303268572043258,11.720001697540283,11.980748971303305,67.20905504728618,53.27764591885711,57.91800436058622,49.35762394345448,52.45683139054037,45.649120807647705,53.57908010482788,10.299029619597679,0,21.999999682108562,16.854370523359904,59.56796557349017,46.666666666666664,50,68.78643715660111,40,100,67.5,31.3,11.6,2,23.6,34,19.2,19.9,19.7,4.8,0.14662756598240467,0.36986301369863017,NA,0.27598566308243727,0.14824797843665768,0.280701754385965,0.21238938053097348,0.12322274881516594,0.33898305084745767,37.67378952471032,3.319141647,4.092675707269992,-0.532,0.547,1.401,1.463,0.317,0.572,0.062,1.206,0.398,9,0.57,0.44,0.49,0.72,0.63,66.1978,76.22695,86.65051,21,NA,NA,NA,NA,NA,27.51322,3.52427574431195,3.5644561003236213,3.527539419777253,83.91825,88.46493,17.91508457024508,3.3367311712573553,4.324545021597944,3.581931088251226,0.1435784811464225,4.465621230181526,3.5612706145819497,4.140374241155737,4.246529381415423,3.9886630356311796,0.30708,3.901164011744892,3.7969814738806553,0.31372,3.5283668654806473,-1.0123952697755612
Brazil,138.951490610451,57.6,11.675736524511,78.1536532994723,4.044196601216703,42.82795933340535,75.21227949828977,14.8842334302097,92.2,46.3,60.8,42.4,87.7,0.004437869822485166,67.47128452,98.8434998665652,18.2877523311612,0.01,68.13,64.46,66.4495505226983,32.54233201344808,23.288337886333466,42.36363497647372,87.94231692,0.350155474,4.200394158,2.405949515,70.8891,2522.34,2314.52,0.5077943801879883,0.18888328969478607,0.5781095027923584,0.008441575802862644,0.05037977546453476,0.5653014183044434,0.3181493580341339,0.25021982192993164,-0.054,0.914,1.547,-0.799,-0.041,1.278,-0.424,1.028,0.803,0.86,0.891,26.25677768,7,7,17,31,-0.54,0.326,-1.118,-1.793,-0.89,-0.358,0.42,0.404,0.646,-0.005,0.863,-0.406,0.697,0.252,0.577,29.87,0.522,-0.58,92,62,68,81,60,64,0.700439453125,0.26292869448661804,0.578598141670227,0.04836530610918999,0.07320621611073337,0.24459705642742963,0.021209820871031747,0.17203568632264363,0.2829971217661379,0.5220381359083192,0.36026492962905937,0.6551742626736102,0.3957305948707001,0.3622344085140668,0.3707640773636958,-0.13834890496482644,0.15446836439148015,0.5371167437018416,0.3085081467300928,0.8794921760399576,-0.013033909762765772,0.06863755002452274,0.004986780005822443,0.17864134712545973,66.35241287149407,94.36599969863892,95.8299994468689,94.9999988079071,93.00000071525574,55.0195062369631,44.309773445129395,47.988386154174805,72.76035911158512,69.69210821877651,100,52.61073743284227,73.7684108481337,60.93024969100952,17.78363734483719,37.99169723529077,33.10344653407411,37.99999872843424,44.27184728363021,79.28291358770487,84.79235235412892,80,57.301385876441316,70,93.33333333333333,87.5,20.8,9.9,16.6,17.7,23.5,9.5,21.4,11.8,2.9,0.15859030837004395,0.29914529914529914,0.41981132075471694,0.31279620853080575,0.2091254752851711,0.5038759689922481,0.17796610169491536,0.4066666666666666,0.5,71.42683676405306,3.741689152,3.40534243282087,1.024,-0.054,0.493,-1.391,1.366,0.701,1.628,-1.409,-1.802,68,0.56,0.5,0.56,0.62,0.57,59.08307,81.29475,69.85197,46.33,0.4,0.62,0.33,0.15,0.49,45.1029853482019,3.9524636237950954,2.4429690322691986,2.5005460322094883,99.35,92.58371,21.625157369308056,3.625193910200113,4.770460479371211,3.81816605187689,3.4493933945689235,4.577502325493423,4.99653807269032,4.0186959216065725,4.469284326547212,3.128275675175658,0.59842,3.159250728417056,3.3845473117767044,0.70588,3.050402322382789,0.4084687234040304
